TIMESTEMP,GAS_DATA
2020-05-13 7:26,172
2020-05-13 7:26,165
27:12.8,165
27:13.3,166
27:13.8,167
27:14.3,167
27:14.8,166
27:15.3,166
27:15.8,166
27:16.3,166
27:16.8,165
27:17.3,165
27:17.8,165
27:18.4,165
27:18.9,165
27:19.4,165
27:19.9,202
27:20.4,228
27:20.9,220
27:21.4,215
27:21.9,211
27:22.4,206
27:22.9,203
27:23.4,199
27:24.0,195
27:24.5,193
27:25.0,191
27:25.5,189
27:26.0,187
27:26.5,186
27:27.0,197
27:27.5,234
27:28.0,249
27:28.5,245
27:29.0,238
27:29.6,231
27:30.1,224
27:30.6,218
27:31.1,213
27:31.6,208
27:32.1,204
27:32.6,200
27:33.1,197
27:33.6,199
27:34.1,219
27:34.6,253
27:35.2,245
27:35.7,234
27:36.2,226
27:36.7,219
27:37.2,214
27:37.7,211
27:38.2,207
27:38.7,204
27:39.2,201
27:39.7,198
27:40.3,196
27:40.8,194
27:41.3,193
27:41.8,192
27:42.3,191
27:42.8,190
27:43.3,189
27:43.8,188
27:44.3,186
27:44.8,185
27:45.3,183
27:45.9,182
27:46.4,181
27:46.9,181
27:47.4,180
27:47.9,179
27:48.4,178
27:48.9,178
27:49.4,177
27:49.9,176
27:50.4,176
27:51.0,175
27:51.5,175
27:52.0,174
27:52.5,174
27:53.0,173
27:53.5,172
27:54.0,172
27:54.5,171
27:55.0,171
27:55.5,171
27:56.0,170
27:56.6,170
27:57.1,170
27:57.6,170
27:58.1,170
27:58.6,169
27:59.1,169
27:59.6,169
28:00.1,169
28:00.6,169
28:01.1,168
28:01.6,168
28:02.2,168
28:02.7,168
28:03.2,168
28:03.7,168
28:04.2,168
28:04.7,167
28:05.2,167
28:05.7,168
28:06.2,168
28:06.7,168
28:07.3,168
28:07.8,167
28:08.3,167
28:08.8,167
28:09.3,167
28:09.8,167
28:10.3,167
28:10.8,167
28:11.3,167
28:11.8,167
28:12.3,167
28:12.9,167
28:13.4,167
28:13.9,167
28:14.4,167
28:14.9,167
28:15.4,167
28:15.9,166
28:16.4,166
28:16.9,166
28:17.4,166
28:17.9,166
28:18.5,166
28:19.0,165
28:19.5,165
28:20.0,165
28:20.5,165
28:21.0,165
28:21.5,165
28:22.0,165
28:22.5,165
28:23.0,165
28:23.6,165
28:24.1,165
28:24.6,165
28:25.1,165
28:25.6,165
28:26.1,165
28:26.6,165
28:27.1,165
28:27.6,165
28:28.1,165
28:28.6,165
28:29.2,165
28:29.7,171
28:30.2,189
28:30.7,199
28:31.2,209
28:31.7,202
28:32.2,195
28:32.7,191
28:33.2,188
28:33.7,185
28:34.3,183
28:34.8,181
28:35.3,179
28:35.8,179
28:36.3,178
28:36.8,177
28:37.3,176
28:37.8,175
28:38.3,174
28:38.8,174
28:39.3,331
28:39.9,523
28:40.4,463
28:40.9,418
28:41.4,376
28:41.9,345
28:42.4,324
28:42.9,309
28:43.4,297
28:43.9,286
28:44.4,277
28:44.9,291
28:45.5,303
28:46.0,317
28:46.5,310
28:47.0,300
28:47.5,291
28:48.0,283
28:48.5,278
28:49.0,272
28:49.5,266
28:50.0,260
28:50.6,255
28:51.1,251
28:51.6,247
28:52.1,243
28:52.6,238
28:53.1,234
28:53.6,230
28:54.1,227
28:54.6,224
28:55.1,221
28:55.6,218
28:56.2,215
28:56.7,213
28:57.2,211
28:57.7,209
28:58.2,208
28:58.7,206
28:59.2,204
28:59.7,202
29:00.2,200
29:00.7,199
29:01.2,197
29:01.8,196
29:02.3,195
29:02.8,194
29:03.3,193
29:03.8,191
29:04.3,190
29:04.8,190
29:05.3,189
29:05.8,188
29:06.3,188
29:06.9,187
29:07.4,187
29:07.9,186
29:08.4,185
29:08.9,185
29:09.4,184
29:09.9,183
29:10.4,183
29:10.9,182
29:11.4,182
29:11.9,181
29:12.5,181
29:13.0,181
29:13.5,180
29:14.0,180
29:14.5,180
29:15.0,180
29:15.5,180
29:16.0,179
29:16.5,179
29:17.0,179
29:17.6,179
29:18.1,179
29:18.6,179
29:19.1,179
29:19.6,178
29:20.1,178
29:20.6,178
29:21.1,178
29:21.6,178
29:22.1,178
29:22.6,178
29:23.2,178
29:23.7,177
29:24.2,177
29:24.7,177
29:25.2,177
29:25.7,177
29:26.2,176
29:26.7,176
29:27.2,176
29:27.7,176
29:28.2,175
29:28.8,175
29:29.3,175
29:29.8,175
29:30.3,175
29:30.8,175
29:31.3,175
29:31.8,175
29:32.3,175
29:32.8,174
29:33.3,175
29:33.9,175
29:34.4,175
29:34.9,174
29:35.4,175
29:35.9,175
29:36.4,174
29:36.9,174
29:37.4,174
29:37.9,174
29:38.4,174
29:38.9,174
29:39.5,174
29:40.0,174
29:40.5,174
29:41.0,174
29:41.5,174
29:42.0,174
29:42.5,173
29:43.0,173
29:43.5,173
29:44.0,173
29:44.5,172
29:45.1,173
29:45.6,173
29:46.1,173
29:46.6,173
29:47.1,173
29:47.6,173
29:48.1,173
29:48.6,172
29:49.1,172
29:49.6,172
29:50.1,172
29:50.7,172
29:51.2,172
29:51.7,172
29:52.2,172
29:52.7,172
29:53.2,172
29:53.7,171
29:54.2,171
29:54.7,171
29:55.2,171
29:55.8,171
29:56.3,171
29:56.8,171
29:57.3,171
29:57.8,171
29:58.3,171
29:58.8,170
29:59.3,170
29:59.8,170
30:00.3,170
30:00.8,170
30:01.4,170
30:01.9,170
30:02.4,170
30:02.9,170
30:03.4,170
30:03.9,169
30:04.4,170
30:04.9,170
30:05.4,170
30:05.9,170
30:06.5,170
30:07.0,170
30:07.5,170
30:08.0,170
30:08.5,170
30:09.0,169
30:09.5,169
30:10.0,169
30:10.5,169
30:11.0,169
30:11.5,169
30:12.1,169
30:12.6,169
30:13.1,169
30:13.6,169
30:14.1,169
30:14.6,169
30:15.1,169
30:15.6,169
30:16.1,169
30:16.6,169
30:17.1,169
30:17.7,169
30:18.2,169
30:18.7,169
30:19.2,169
30:19.7,169
30:20.2,169
30:20.7,169
30:21.2,169
30:21.7,169
30:22.2,169
30:22.8,169
30:23.3,169
30:23.8,169
30:24.3,169
30:24.8,169
30:25.3,169
30:25.8,169
30:26.3,169
30:26.8,168
30:27.3,168
30:27.8,168
30:28.4,168
30:28.9,168
30:29.4,168
30:29.9,168
30:30.4,167
30:30.9,167
30:31.4,167
30:31.9,167
30:32.4,167
30:32.9,167
30:33.4,167
30:34.0,167
30:34.5,167
30:35.0,167
30:35.5,167
30:36.0,167
30:36.5,167
30:37.0,167
30:37.5,167
30:38.0,167
30:38.5,167
30:39.1,167
30:39.6,166
30:40.1,166
30:40.6,166
30:41.1,166
30:41.6,167
30:42.1,167
30:42.6,166
30:43.1,167
30:43.6,167
30:44.2,166
30:44.7,166
30:45.2,166
30:45.7,166
30:46.2,166
30:46.7,166
30:47.2,166
30:47.7,166
30:48.2,165
30:48.7,165
30:49.2,165
30:49.8,165
30:50.3,165
30:50.8,165
30:51.3,165
30:51.8,164
30:52.3,164
30:52.8,164
30:53.3,164
30:53.8,164
30:54.3,164
30:54.9,164
30:55.4,164
30:55.9,164
30:56.4,164
30:56.9,164
30:57.4,164
30:57.9,164
30:58.4,164
30:58.9,164
30:59.4,164
30:59.9,164
31:00.5,164
31:01.0,164
31:01.5,164
31:02.0,164
31:02.5,164
31:03.0,164
31:03.5,164
31:04.0,164
31:04.5,164
31:05.0,164
31:05.6,164
31:06.1,164
31:06.6,164
31:07.1,164
31:07.6,164
31:08.1,164
31:08.6,164
31:09.1,164
31:09.6,165
31:10.1,165
31:10.6,165
31:11.2,165
31:11.7,165
31:12.2,165
31:12.7,164
31:13.2,164
31:13.7,164
31:14.2,164
31:14.7,164
31:15.2,164
31:15.7,164
31:16.3,164
31:16.8,164
31:17.3,164
31:17.8,164
31:18.3,164
31:18.8,164
31:19.3,164
31:19.8,164
31:20.3,164
31:20.8,164
31:21.3,164
31:21.9,164
31:22.4,164
31:22.9,164
31:23.4,164
31:23.9,164
31:24.4,164
31:24.9,164
31:25.4,164
31:25.9,164
31:26.4,164
31:26.9,163
31:27.5,163
31:28.0,163
31:28.5,163
31:29.0,163
31:29.5,163
31:30.0,163
31:30.5,163
31:31.0,163
31:31.5,163
31:32.0,163
31:32.6,163
31:33.1,162
31:33.6,163
31:34.1,163
31:34.6,163
31:35.1,163
31:35.6,164
31:36.1,164
31:36.6,164
31:37.1,164
31:37.6,164
31:38.2,164
31:38.7,164
31:39.2,164
31:39.7,164
31:40.2,164
31:40.7,163
31:41.2,163
31:41.7,163
31:42.2,163
31:42.7,164
31:43.3,164
31:43.8,163
31:44.3,164
31:44.8,164
31:45.3,163
31:45.8,163
31:46.3,163
31:46.8,163
31:47.3,163
31:47.8,163
31:48.3,163
31:48.9,163
31:49.4,163
31:49.9,163
31:50.4,163
31:50.9,163
31:51.4,163
31:51.9,163
31:52.4,163
31:52.9,163
31:53.4,163
31:54.0,163
31:54.5,163
31:55.0,163
31:55.5,163
31:56.0,163
31:56.5,163
31:57.0,163
31:57.5,163
31:58.0,163
31:58.5,163
31:59.0,163
31:59.6,163
32:00.1,162
32:00.6,162
32:01.1,162
32:01.6,162
32:02.1,162
32:02.6,162
32:03.1,162
32:03.6,162
32:04.1,162
32:04.7,162
32:05.2,162
32:05.7,161
32:06.2,162
32:06.7,162
32:07.2,162
32:07.7,162
32:08.2,162
32:08.7,162
32:09.2,162
32:09.8,162
32:10.3,162
32:10.8,162
32:11.3,162
32:11.8,161
32:12.3,161
32:12.8,161
32:13.3,161
32:13.8,161
32:14.3,161
32:14.9,161
32:15.4,161
32:15.9,161
32:16.4,160
32:16.9,160
32:17.4,160
32:17.9,160
32:18.4,160
32:18.9,160
32:19.4,160
32:19.9,159
32:20.5,159
32:21.0,159
32:21.5,159
32:22.0,159
32:22.5,159
32:23.0,159
32:23.5,159
32:24.0,159
32:24.5,159
32:25.0,158
32:25.6,159
32:26.1,159
32:26.6,159
32:27.1,159
32:27.6,159
32:28.1,158
32:28.6,159
32:29.1,158
32:29.6,158
32:30.1,158
