TIMESTEMP,GAS_DATA,Class
2713,165,0
2713,166,0
2714,167,0
2714,167,0
2715,166,0
2715,166,0
2716,166,0
2716,166,0
2717,165,0
2717,165,0
2718,165,0
2718,165,0
2719,165,0
2719,165,0
2720,202,0
2720,228,0
2721,220,0
2721,215,0
2722,211,0
2722,206,0
2723,203,0
2723,199,0
2724,195,0
2725,193,0
2725,191,0
2725,189,0
2726,187,0
2727,186,0
2727,197,0
2727,234,0
2728,249,0
2729,245,0
2729,238,0
2730,231,0
2730,224,0
2731,218,0
2731,213,0
2732,208,0
2732,204,0
2733,200,0
2733,197,0
2734,199,0
2734,219,0
2735,253,0
2735,245,0
2736,234,0
2736,226,0
2737,219,0
2737,214,0
2738,211,0
2738,207,0
2739,204,0
2739,201,0
2740,198,0
2740,196,0
2741,194,0
2741,193,0
2742,192,0
2742,191,0
2743,190,0
2743,189,0
2744,188,0
2744,186,0
2745,185,0
2745,183,0
2746,182,0
2746,181,0
2747,181,0
2747,180,0
2748,179,0
2748,178,0
2749,178,0
2749,177,0
2750,176,0
2750,176,0
2751,175,0
2752,175,0
2752,174,0
2753,174,0
2753,173,0
2753,172,0
2754,172,0
2755,171,0
2755,171,0
2756,171,0
2756,170,0
2757,170,0
2757,170,0
2758,170,0
2758,170,0
2759,169,0
2759,169,0
2800,169,0
2800,169,0
2801,169,0
2801,168,0
2802,168,0
2802,168,0
2803,168,0
2803,168,0
2804,168,0
2804,168,0
2805,167,0
2805,167,0
2806,168,0
2806,168,0
2807,168,0
2807,168,0
2808,167,0
2808,167,0
2809,167,0
2809,167,0
2810,167,0
2810,167,0
2811,167,0
2811,167,0
2812,167,0
2812,167,0
2813,167,0
2813,167,0
2814,167,0
2814,167,0
2815,167,0
2815,167,0
2816,166,0
2816,166,0
2817,166,0
2817,166,0
2818,166,0
2818,166,0
2819,165,0
2819,165,0
2820,165,0
2820,165,0
2821,165,0
2821,165,0
2822,165,0
2822,165,0
2823,165,0
2824,165,0
2824,165,0
2825,165,0
2825,2762,1
2826,165,0
2826,165,0
2827,165,0
2827,165,0
2828,165,0
2828,165,0
2829,165,0
2829,165,0
2830,171,0
2830,189,0
2831,199,0
2831,209,0
2832,202,0
2832,195,0
2833,191,0
2833,188,0
2834,185,0
2834,183,0
2835,181,0
2835,179,0
2836,179,0
2836,178,0
2837,177,0
2837,176,0
2838,175,0
2838,174,0
2839,174,0
2839,331,0
2840,523,0
2840,463,0
2841,418,0
2841,376,0
2842,345,0
2842,324,0
2843,309,0
2843,297,0
2844,286,0
2844,277,0
2845,291,0
2845,303,0
2846,317,0
2846,310,0
2847,300,0
2847,291,0
2848,283,0
2849,278,0
2849,272,0
2849,266,0
2850,2345,1
2851,255,0
2851,251,0
2852,247,0
2852,243,0
2853,238,0
2853,234,0
2854,230,0
2854,227,0
2855,224,0
2855,221,0
2856,218,0
2856,215,0
2857,213,0
2857,211,0
2858,209,0
2858,208,0
2859,206,0
2859,204,0
2900,202,0
2900,200,0
2901,199,0
2901,197,0
2902,196,0
2902,195,0
2903,194,0
2903,193,0
2904,191,0
2904,190,0
2905,190,0
2905,189,0
2906,188,0
2906,188,0
2907,187,0
2907,187,0
2908,186,0
2908,185,0
2909,185,0
2909,184,0
2910,183,0
2910,183,0
2911,182,0
2911,182,0
2912,2345,1
2912,181,0
2913,181,0
2914,180,0
2914,180,0
2915,180,0
2915,180,0
2915,180,0
2916,179,0
2917,179,0
2917,179,0
2918,179,0
2918,179,0
2919,179,0
2919,179,0
2920,178,0
2920,178,0
2921,178,0
2921,178,0
2922,178,0
2922,178,0
2923,6645,1
2923,178,0
2924,177,0
2924,177,0
2925,177,0
2925,177,0
2926,177,0
2926,176,0
2927,176,0
2927,176,0
2928,176,0
2928,175,0
2929,175,0
2929,175,0
2930,175,0
2930,175,0
2931,175,0
2931,175,0
2932,175,0
2932,175,0
2933,4345,1
2933,175,0
2934,175,0
2934,175,0
2935,174,0
2935,175,0
2936,175,0
2936,174,0
2937,174,0
2937,174,0
2938,174,0
2938,174,0
2939,174,0
2940,174,0
2940,174,0
2940,174,0
2941,174,0
2941,174,0
2942,174,0
2942,173,0
2943,173,0
2943,173,0
2944,173,0
2945,172,0
2945,173,0
2946,173,0
2946,173,0
2947,173,0
2947,173,0
2948,173,0
2948,173,0
2949,172,0
2949,172,0
2950,172,0
2950,172,0
2951,172,0
2951,172,0
2952,172,0
2952,172,0
2953,172,0
2953,172,0
2954,171,0
2954,171,0
2955,171,0
2955,171,0
2956,171,0
2956,171,0
2957,171,0
2957,171,0
2958,171,0
2958,171,0
2959,170,0
2959,170,0
3000,170,0
3000,170,0
3001,170,0
3001,170,0
3002,170,0
3002,170,0
3003,170,0
3003,170,0
3004,169,0
3004,170,0
3005,6655,1
3005,170,0
3006,170,0
3007,170,0
3007,170,0
3007,170,0
3008,170,0
3009,170,0
3009,169,0
3010,169,0
3010,169,0
3011,169,0
3011,169,0
3011,169,0
3012,169,0
3013,169,0
3013,169,0
3014,169,0
3014,169,0
3015,169,0
3015,169,0
3016,169,0
3016,169,0
3017,169,0
3017,169,0
3018,169,0
3018,169,0
3019,169,0
3019,169,0
3020,169,0
3020,169,0
3021,169,0
3021,169,0
3022,169,0
3022,169,0
3023,169,0
3023,169,0
3024,169,0
3024,169,0
3025,169,0
3025,169,0
3026,169,0
3026,169,0
3027,168,0
3027,168,0
3028,168,0
3028,168,0
3029,168,0
3029,168,0
3030,168,0
3030,167,0
3031,167,0
3031,167,0
3032,167,0
3032,167,0
3033,167,0
3033,167,0
3034,167,0
3034,167,0
3035,167,0
3036,167,0
3036,167,0
3037,167,0
3037,167,0
3037,167,0
3038,167,0
3039,167,0
3039,167,0
3040,166,0
3040,166,0
3041,166,0
3041,7764,1
3042,167,0
3042,167,0
3043,166,0
3043,167,0
3044,167,0
3044,166,0
3045,166,0
3045,166,0
3046,166,0
3046,166,0
3047,166,0
3047,166,0
3048,166,0
3048,165,0
3049,165,0
3049,165,0
3050,165,0
3050,165,0
3051,165,0
3051,165,0
3052,164,0
3052,164,0
3053,164,0
3053,164,0
3054,164,0
3054,164,0
3055,164,0
3055,164,0
3056,164,0
3056,164,0
3057,164,0
3057,164,0
3058,164,0
3058,164,0
3059,164,0
3059,164,0
3100,164,0
3100,164,0
3101,164,0
3102,164,0
3102,164,0
3103,164,0
3103,164,0
3103,164,0
3104,164,0
3105,164,0
3105,164,0
3106,164,0
3106,164,0
3107,164,0
3107,164,0
3108,164,0
3108,164,0
3109,164,0
3109,164,0
3110,165,0
3110,165,0
3111,165,0
3111,165,0
3112,165,0
3112,165,0
3113,164,0
3113,164,0
3114,164,0
3114,164,0
3115,164,0
3115,164,0
3116,164,0
3116,164,0
3117,164,0
3117,164,0
3118,164,0
3118,164,0
3119,164,0
3119,164,0
3120,164,0
3120,555465,1
3121,164,0
3121,164,0
3122,164,0
3122,164,0
3123,164,0
3123,164,0
3124,164,0
3124,164,0
3125,164,0
3125,164,0
3126,164,0
3126,164,0
3127,163,0
3128,163,0
3128,163,0
3129,163,0
3129,163,0
3129,163,0
3130,163,0
3131,163,0
3131,163,0
3131,163,0
3132,163,0
3133,163,0
3133,162,0
3134,163,0
3134,163,0
3135,163,0
3135,163,0
3136,164,0
3136,164,0
3137,164,0
3137,164,0
3138,164,0
3138,164,0
3139,164,0
3139,164,0
3140,164,0
3140,164,0
3141,163,0
3141,163,0
3142,163,0
3142,163,0
3143,164,0
3143,164,0
3144,163,0
3144,164,0
3145,164,0
3145,163,0
3146,163,0
3146,163,0
3147,163,0
3147,163,0
3148,163,0
3148,163,0
3149,163,0
3149,163,0
3150,163,0
3150,163,0
3151,163,0
3151,163,0
3152,163,0
3152,163,0
3153,163,0
3153,163,0
3154,163,0
3155,163,0
3155,163,0
3155,163,0
3156,163,0
3156,163,0
3157,163,0
3158,163,0
3158,163,0
3159,163,0
3159,163,0
3200,163,0
3200,162,0
